1536153126157,90
1536153126927,92
1536153127925,84
1536153128922,83
1536153129918,82
1536153130936,82
1536153131914,82
1536153132913,82
1536153133910,82
1536153134908,80
1536153135905,77
1536153136914,77
1536153137900,77
1536153138897,77
1536153139895,77
1536153140893,78
1536153141890,78
1536153142888,78
1536153143885,79
1536153144898,79
1536153145880,78
1536153146877,78
1536153147875,78
1536153148873,79
1536153149870,79
1536153150867,78
1536153151866,78
1536153152863,76
1536153153861,76
1536153154858,76
1536153155854,75
1536153156852,75
1536153157850,75
1536153158847,74
1536153159845,74
1536153160860,74
1536153161841,74
1536153162838,74
1536153163835,73
1536153164833,72
1536153165830,71
1536153166827,70
1536153167826,70
1536153168823,70
1536153170319,69
1536153170817,68
1536153171815,67
1536153172813,68
1536153173814,68
1536153174809,68
1536153175806,67
1536153176804,67
1536153177800,68
1536153178798,68
1536153179795,67
1536153180792,66
1536153181790,67
1536153182788,67
1536153183784,68
1536153184783,68
1536153185780,68
1536153186778,68
1536153187776,68
1536153188773,68
1536153189771,67
1536153190768,67
1536153191766,66
1536153192761,65
1536153193762,64
1536153194758,64
1536153195756,65
1536153196753,66
1536153197749,66
1536153198748,67
1536153199744,67
1536153200744,67
1536153201739,67
1536153202736,67
1536153203736,66
1536153204732,66
1536153205730,67
1536153206728,67
1536153207724,66
1536153208723,65
1536153211217,65
1536153212214,65
1536153213212,66
1536153214209,66
1536153215207,67
1536153216206,67
1536153217202,66
1536153218203,65
1536153219197,65
1536153220197,66
1536153221191,66
1536153222190,68
1536153223188,69
1536153224185,69
1536153225183,68
1536153226181,66
1536153227177,65
1536153228175,64
1536153229172,64
1536153230170,63
1536153231176,64
1536153232165,66
1536153233163,67
1536153234160,68
1536153235158,68
1536153236154,68
1536153237153,68
1536153238150,68
1536153239148,68
1536153240146,68
1536153241142,68
1536153242142,68
1536153243138,68
1536153244138,69
1536153245131,69
1536153246129,69
1536153247129,68
1536153248132,67
1536153249123,67
1536153250129,68
1536153251614,69
1536153252115,69
1536153253112,69
1536153254111,67
1536153255108,65
1536153256105,64
1536153257103,63
1536153258101,63
1536153259097,63
1536153260095,64
